vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,OH,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999",High school graduate,GA,51 to 60,"Black, or African American",Female 51 to 60
Joe Biden,Female,"$65,000 to $69,999",Associate Degree,MD,41 to 50,other asian or pacific islander,Female 41 to 50
Donald Trump,Female,"$40,000 to $44,999",Associate Degree,FL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",FL,21 to 30,Other race,Female 21 to 30
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",NC,21 to 30,Other race,Female 21 to 30
Joe Biden,Male,"$100,000 to $124,999","Completed some college, but no degree",MA,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$55,000 to $59,999",Associate Degree,PA,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$200,000 to $249,999",Masters degree,NY,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$250,000 and above",Masters degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$15,000 to $19,999",Associate Degree,PA,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,MA,51 to 60,other asian or pacific islander,Male 51 to 60
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$65,000 to $69,999",Masters degree,TX,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,IL,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,NY,31 to 40,White,Male 31 to 40
